Time [s], Distance [m]
16.806963, 2.199142
16.853262, 2.199142
16.904513, 2.199142
16.953335, 2.100149
17.003428, 2.100149
17.054095, 2.100149
17.103215, 2.100149
17.153229, 2.000156
17.203424, 2.000156
17.254794, 2.000156
17.303133, 1.800160
17.353362, 1.800160
17.403134, 1.800160
17.453512, 1.800160
17.509475, 1.800160
17.555531, 1.800160
17.603326, 1.800160
17.654088, 1.800160
17.708264, 1.600180
17.754939, 1.600180
17.804323, 1.600180
17.853848, 1.600180
17.903289, 1.600180
17.953150, 1.600180
18.004539, 1.600180
18.053203, 1.600180
18.103491, 1.600180
18.209129, 1.425202
18.253267, 1.425202
18.303155, 1.425202
18.403270, 1.325217
18.453113, 1.325217
18.503470, 1.325217
18.553222, 1.325217
18.603714, 1.300222
18.654879, 1.300222
18.705801, 1.300222
18.755566, 1.300222
18.803330, 1.300222
18.905070, 1.133254
18.958457, 1.133254
19.003222, 1.133254
19.103180, 1.025281
19.159463, 1.025281
19.203058, 1.000288
19.449032, 0.900320
19.499318, 0.900320
19.553358, 0.802359
19.599555, 0.802359
19.649320, 0.802359
19.699349, 0.802359
19.849882, 0.660436
19.900377, 0.660436
19.949355, 0.615468
20.004312, 0.615468
20.049222, 0.615468
20.099641, 0.615468
20.149302, 0.422863
20.200639, 0.422863
20.251820, 0.422863
20.301996, 0.422863
20.458760, 0.356183
20.499240, 0.356183
20.549566, 0.356183
20.599414, 0.338245
20.649646, 0.338245
20.701609, 0.338245
20.750188, 0.338245
20.799297, 0.247212
20.851146, 0.247212
20.899348, 0.247212
20.951750, 0.070838
21.000526, 0.070838
21.052906, 0.070838
21.149349, 0.055082
21.201497, 0.055082
21.299420, 0.117137
21.352672, 0.117137
21.401193, 0.117137
21.451426, 0.141322
21.506352, 0.141322
21.549326, 0.141322
21.599222, 0.141322
21.649318, 0.335847
21.700387, 0.335847
21.749369, 0.335847
21.800807, 0.335847
21.903017, 0.411364
21.951263, 0.411364
21.999815, 0.535522
22.049432, 0.535522
22.099387, 0.535522
22.200176, 0.611943
22.249308, 0.611943
22.302911, 0.611943
22.400407, 0.712372
22.449535, 0.712372
22.601996, 0.813499
22.649798, 0.813499
22.751603, 0.912921
22.805113, 0.912921
22.899441, 0.936688
22.954047, 0.936688
23.002109, 0.936688
23.049332, 1.035628
23.108813, 1.035628
23.149410, 1.035628
23.250113, 1.210321
23.299340, 1.210321
23.399238, 1.308670
23.452104, 1.308670
23.503783, 1.331027
23.549273, 1.331027
23.604667, 1.331027
23.650965, 1.331027
23.799633, 1.505747
23.849596, 1.505747
23.899429, 1.505747
23.949646, 1.528413
24.000653, 1.528413
24.049426, 1.528413
24.101841, 1.724888
24.149315, 1.724888
24.199658, 1.724888
24.250433, 1.724888
24.299527, 1.724888
24.403444, 1.799315
24.449371, 1.799315
24.500062, 1.799315
24.558044, 1.821393
24.599318, 1.821393
24.649477, 1.821393
24.749247, 1.994449
24.799175, 1.994449
24.850033, 1.994449
24.949258, 2.018172
24.999524, 2.018172
25.050197, 2.018172
25.149462, 2.190901
25.199693, 2.190901
25.254510, 2.190901
25.299301, 2.311239
25.349331, 2.311239
25.402018, 2.311239
25.454214, 2.311239
25.499264, 2.311831
25.553412, 2.311831
25.599330, 2.311831
25.752762, 2.483068
25.899572, 2.506217
25.949266, 2.506217
26.005523, 2.686627
26.054243, 2.686627
26.099241, 2.686627
26.149367, 2.686627
26.199279, 2.698161
26.249247, 2.698161
26.299589, 2.698161
26.399432, 2.861978
26.453129, 2.861978
26.550542, 2.881317
26.599278, 2.881317
26.649287, 2.881317
26.701955, 3.068136
26.749747, 3.068136
26.799318, 3.068136
26.849604, 3.068136
26.899379, 3.159470
26.950010, 3.159470
27.049423, 3.156859
27.100206, 3.156859
27.150349, 3.156859
27.201932, 3.156859
27.249266, 3.341149
27.300809, 3.341149
27.353347, 3.341149
27.451694, 3.408236
27.500144, 3.408236
27.649441, 3.498873
27.701003, 3.498873
27.849382, 3.588075
27.899391, 3.588075
27.954186, 3.610235
27.999339, 3.610235
28.049521, 3.610235
28.099309, 3.610235
28.149902, 3.610235
28.199327, 3.700889
28.253134, 3.700889
28.300239, 3.700889
28.349238, 3.700889
28.401846, 3.700889
28.553755, 3.792400
28.599549, 3.792400
28.649617, 3.792400
28.699958, 3.882662
28.749661, 3.882662
28.900139, 4.041032
28.999294, 4.062459
29.051356, 4.062459
29.099975, 4.062459
29.249383, 4.209889
29.299947, 4.209889
29.349359, 4.209889
29.449426, 4.305288
29.501947, 4.305288
29.549368, 4.326181
29.600040, 4.326181
29.649382, 4.326181
29.799493, 4.478928
29.849676, 4.478928
30.000573, 4.564343
30.050710, 4.564343
30.100257, 4.585846
30.149611, 4.585846
30.199272, 4.585846
30.250800, 4.585846
30.310215, 4.671016
30.349262, 4.671016
30.399503, 4.671016
30.449250, 4.671016
30.499293, 4.671016
30.553953, 4.755577
30.602722, 4.755577
30.658444, 4.755577
30.699479, 4.755577
30.749352, 4.925010
30.215463, 4.925010
30.264915, 4.925010
30.314517, 4.921816
30.364798, 4.921816
30.464673, 5.004932
30.514587, 5.004932
30.567235, 5.004932
30.618750, 5.173760
30.664642, 5.173760
30.714438, 5.173760
30.764720, 5.173760
30.865231, 5.235130
30.916183, 5.235130
30.983765, 5.235130
31.014606, 5.254397
31.064693, 5.254397
31.114677, 5.254397
31.165179, 5.254397
31.215572, 5.420403
31.264495, 5.420403
31.318289, 5.420403
31.465827, 5.481076
31.514509, 5.481076
31.669752, 5.563616
31.714516, 5.563616
31.764644, 5.563616
31.866303, 5.639785
31.914603, 5.639785
31.965868, 5.667050
32.022155, 5.667050
32.070941, 5.667050
32.114492, 5.667050
32.166299, 5.748533
32.214574, 5.748533
32.317789, 5.830472
32.364611, 5.830472
32.415424, 5.830472
32.464791, 5.912159
32.514442, 5.912159
32.564509, 5.912159
32.664397, 5.992242
32.714455, 5.992242
32.777328, 5.992242
32.864522, 6.073548
32.914439, 6.073548
32.964731, 6.235607
33.014912, 6.235607
33.064666, 6.235607
33.114592, 6.234893
33.164657, 6.234893
33.215280, 6.234893
33.264604, 6.315662
33.316720, 6.315662
33.365519, 6.315662
33.414464, 6.315662
33.564690, 6.456390
33.616820, 6.456390
33.665281, 6.456390
33.715693, 6.456390
33.814672, 6.537270
33.864645, 6.537270
33.964570, 6.618739
34.018184, 6.618739
34.121231, 6.699978
34.164584, 6.699978
34.264854, 6.781152
34.314511, 6.781152
34.416186, 6.861424
34.465536, 6.861424
34.615293, 6.942956
34.664577, 6.942956
34.814504, 7.023703
34.865803, 7.023703
34.965757, 7.043511
35.016720, 7.043511
35.070572, 7.043511
35.121337, 7.043511
35.164756, 7.123309
35.214547, 7.123309
35.264450, 7.123309
35.314626, 7.123309
35.366413, 7.202155
35.416196, 7.202155
35.465327, 7.202155
35.515525, 7.282232
35.565270, 7.282232
35.615044, 7.282232
35.665508, 7.282232
35.714553, 7.360733
35.765883, 7.360733
35.814622, 7.360733
35.873261, 7.360733
35.917497, 7.441073
35.965744, 7.441073
36.017731, 7.441073
36.064657, 7.441073
36.114470, 7.520435
36.166309, 7.520435
36.214507, 7.520435
36.317867, 7.599615
36.364996, 7.599615
36.414797, 7.599615
36.514799, 7.680015
36.566087, 7.680015
36.615939, 7.680015
36.664637, 7.680015
36.717850, 7.680015
36.869520, 7.821228
36.917246, 7.821228
36.965711, 7.840870
37.015982, 7.840870
37.066740, 7.840870
37.115940, 7.921323
37.164549, 7.921323
37.214421, 7.921323
37.264416, 7.921323
37.316016, 8.002995
37.365982, 8.002995
37.414606, 8.002995
37.466384, 8.002995
37.514545, 8.085053
37.564936, 8.085053
37.617029, 8.085053
37.664823, 8.085053
37.714558, 8.085053
37.764449, 8.167488
37.815862, 8.167488
37.864640, 8.167488
37.915869, 8.248903
37.965586, 8.248903
38.014580, 8.248903
38.114858, 8.330977
38.164596, 8.330977
38.218322, 8.330977
38.264821, 8.330977
38.315451, 8.330977
38.369453, 8.413950
38.414505, 8.413950
38.464790, 8.413950
38.514613, 8.495889
38.564554, 8.495889
38.621305, 8.495889
38.664460, 8.495889
38.714498, 8.495889
38.767275, 8.579018
38.816005, 8.579018
38.864882, 8.579018
38.917275, 8.579018
38.964592, 8.579018
39.114419, 8.662480
39.164550, 8.662480
39.264697, 8.745754
39.314383, 8.745754
39.364516, 8.745754
39.464728, 8.830723
39.514443, 8.830723
39.564528, 8.915502
39.614609, 8.915502
39.665274, 8.915502
39.715676, 9.000594
39.764870, 9.000594
39.814705, 9.000594
39.871602, 9.000594
40.064622, 9.149866
40.168396, 9.171196
40.217033, 9.171196
40.264725, 9.171196
40.314912, 9.309607
40.367315, 9.309607
40.414479, 9.309607
40.466034, 9.309607
40.515319, 9.337221
40.566442, 9.337221
40.614522, 9.337221
40.664582, 9.504313
40.716007, 9.504313
40.765121, 9.504313
40.814639, 9.504313
40.865160, 9.499897
40.918320, 9.499897
40.964466, 9.499897
41.014531, 9.499897
41.065731, 9.499897
41.121328, 9.668864
41.164459, 9.668864
41.214538, 9.668864
41.364554, 9.729243
41.414966, 9.729243
41.466203, 9.746583
41.514455, 9.746583
41.567175, 9.746583
41.616543, 9.828534
41.665863, 9.828534
41.717338, 9.828534
41.764512, 9.828534
41.864955, 9.975607
41.914879, 9.975607
42.065131, 10.056818
42.117122, 10.056818
42.166575, 10.056818
42.215859, 10.075241
42.265653, 10.075241
42.314566, 10.075241
42.364589, 10.075241
42.464525, 10.226633
42.518309, 10.226633
42.564937, 10.247426
42.614936, 10.247426
42.664467, 10.247426
42.716786, 10.247426
42.764789, 10.333404
42.817179, 10.333404
42.866746, 10.333404
42.965123, 10.420505
43.014839, 10.420505
43.065723, 10.420505
43.164694, 10.572592
43.214898, 10.572592
43.314720, 10.659863
43.365260, 10.659863
43.421781, 10.659863
43.515998, 10.746429
43.564548, 10.746429
43.714960, 10.834621
43.769796, 10.834621
43.818609, 10.834621
43.873362, 10.856702
43.915665, 10.856702
43.966032, 10.856702
44.014481, 10.856702
44.165272, 11.015827
44.315981, 11.099122
44.364584, 11.099122
44.414446, 11.099122
44.464981, 11.121354
44.514760, 11.121354
44.564504, 11.121354
44.614475, 11.285020
44.664551, 11.285020
44.715014, 11.285020
44.766133, 11.285020
44.814495, 11.285020
44.964504, 11.359624
45.014569, 11.359624
45.065761, 11.379222
45.117483, 11.379222
45.164544, 11.379222
45.214859, 11.379222
45.267805, 11.465295
45.316572, 11.465295
45.364499, 11.465295
45.417330, 11.465295
45.517791, 11.550621
45.566209, 11.550621
45.615982, 11.550621
45.714489, 11.634825
45.766094, 11.634825
45.814428, 11.634825
45.865301, 11.720136
45.914461, 11.720136
45.964602, 11.720136
46.016145, 11.804328
46.067033, 11.804328
46.115256, 11.804328
46.166322, 11.804328
46.214752, 11.889628
46.265823, 11.889628
46.314462, 11.889628
46.364900, 11.889628
46.514548, 12.040493
46.565131, 12.040493
46.614728, 12.040493
46.764473, 12.126863
46.814710, 12.126863
46.917306, 12.214003
46.965022, 12.214003
47.016452, 12.214003
47.166015, 12.234235
47.314484, 12.386261
47.364975, 12.386261
47.415406, 12.386261
47.465654, 12.482976
47.517257, 12.482976
47.564547, 12.482976
47.614926, 12.568625
47.664857, 12.568625
47.715350, 12.568625
47.771492, 12.568625
47.814547, 12.576468
47.866971, 12.576468
47.914500, 12.576468
47.965981, 12.576468
48.014544, 12.660084
48.064599, 12.660084
48.115652, 12.660084
48.214806, 12.810434
48.265188, 12.810434
48.317370, 12.810434
48.418380, 12.894826
48.464740, 12.894826
48.520118, 12.894826
48.669059, 12.978438
48.714547, 12.978438
48.765021, 12.978438
48.814688, 12.978438
48.914574, 12.997147
48.964569, 12.997147
49.018104, 12.997147
49.164458, 13.108413
49.214437, 13.108413
49.264567, 13.085293
49.314422, 13.085293
49.364486, 13.085293
49.464743, 12.902008
49.514689, 12.902008
49.616251, 12.890926
49.664478, 12.890926
49.715237, 12.890926
49.814708, 12.718441
49.865502, 12.718441
49.916301, 12.718441
49.964622, 12.718441
50.014706, 12.694070
50.064371, 12.694070
50.114486, 12.694070
50.165781, 12.694070
50.215359, 12.595663
50.266140, 12.595663
50.315672, 12.595663
50.365608, 12.595663
50.414722, 12.497261
50.464804, 12.497261
50.515944, 12.497261
50.565420, 12.497261
50.614453, 12.398864
50.664658, 12.398864
50.717116, 12.398864
50.814559, 12.300161
50.865375, 12.300161
50.914932, 12.300161
50.967067, 12.202412
51.016452, 12.202412
51.065609, 12.202412
51.114570, 12.202412
51.164879, 12.202412
51.266256, 12.103405
51.319631, 12.103405
51.369734, 12.103405
51.465803, 12.005037
51.514643, 12.005037
51.566115, 12.005037
51.614582, 11.904773
51.668131, 11.904773
51.714427, 11.904773
51.764558, 11.904773
51.865330, 11.804198
51.915735, 11.804198
51.965285, 11.804198
52.074206, 11.704260
52.115090, 11.704260
52.165151, 11.704260
52.266357, 11.529371
52.314668, 11.529371
52.414444, 11.504387
52.464489, 11.504387
52.514487, 11.405087
52.564708, 11.405087
52.616168, 11.405087
52.664527, 11.405087
52.714556, 11.405087
52.815021, 11.229574
52.864593, 11.229574
52.965379, 11.129960
53.021347, 11.129960
53.064552, 11.129960
53.114485, 11.104662
53.164634, 11.104662
53.215769, 11.104662
53.314485, 10.930103
53.365599, 10.930103
53.416131, 10.930103
53.477283, 10.904805
53.514460, 10.904805
53.564671, 10.904805
53.614786, 10.904805
53.665738, 10.804876
53.714843, 10.804876
53.764889, 10.804876
53.814473, 10.804876
53.964525, 10.704317
54.014514, 10.704317
54.114517, 10.605023
54.164577, 10.605023
54.215535, 10.605023
54.317472, 10.430153
54.364486, 10.430153
54.465096, 10.404855
54.517902, 10.404855
54.564484, 10.404855
54.615641, 10.404855
54.714412, 10.229671
54.764962, 10.229671
54.864530, 10.129435
54.914815, 10.129435
54.965981, 10.105086
55.019794, 10.105086
55.065559, 10.105086
55.115983, 10.105086
55.215488, 9.929915
55.264510, 9.929915
55.364653, 9.830633
55.415648, 9.830633
55.464586, 9.805022
55.514888, 9.805022
55.564643, 9.805022
55.616576, 9.705742
55.665853, 9.705742
55.714458, 9.705742
55.766182, 9.705742
55.814480, 9.530273
55.864474, 9.530273
55.915187, 9.530273
55.966338, 9.406029
56.015585, 9.406029
56.069307, 9.406029
56.114650, 9.406029
56.169580, 9.406029
56.219529, 9.406029
56.264620, 9.406029
56.314591, 9.406029
56.415478, 9.231215
56.464707, 9.231215
56.514760, 9.231215
56.616720, 9.131330
56.668289, 9.131330
56.815491, 9.031758
56.866948, 9.031758
56.964599, 9.006152
57.014879, 9.006152
57.066407, 9.006152
57.115053, 9.006152
57.164562, 8.807357
57.214519, 8.807357
57.268877, 8.807357
57.368535, 8.807357
57.414515, 8.807357
57.464576, 8.707492
57.517938, 8.707492
57.564494, 8.707492
57.617315, 8.707492
57.664557, 8.707492
57.814623, 8.532120
57.869318, 8.532120
57.914789, 8.532120
58.064737, 8.507472
58.114684, 8.507472
58.165405, 8.407623
58.217975, 8.407623
58.264442, 8.407623
58.314583, 8.407623
58.465174, 8.243027
58.514428, 8.243027
58.566393, 8.243027
58.614511, 8.210501
58.669466, 8.210501
58.717462, 8.210501
58.814455, 8.037399
58.865263, 8.037399
58.916468, 8.037399
59.015512, 7.938536
59.064824, 7.938536
59.114664, 7.914851
59.164474, 7.914851
59.214563, 7.914851
59.317042, 7.816654
59.365002, 7.816654
59.414555, 7.816654
59.468940, 7.718765
59.519068, 7.718765
59.565373, 7.718765
59.666286, 7.619634
59.715132, 7.619634
59.765641, 7.619634
59.816773, 7.521764
59.865158, 7.521764
59.919892, 7.521764
59.965145, 7.521764
60.018150, 7.521764
60.115105, 7.348182
60.165217, 7.348182
60.315638, 7.250050
60.364468, 7.250050
60.420035, 7.224469
60.464524, 7.224469
60.519379, 7.224469
60.564544, 7.224469
60.617061, 7.224469
60.664622, 7.026045
60.714706, 7.026045
60.766263, 7.026045
60.866515, 7.026045
60.916062, 7.026045
60.966653, 7.026045
61.026346, 6.926042
61.064767, 6.926042
61.115174, 6.926042
61.166117, 6.926042
61.216925, 6.826724
61.264517, 6.826724
61.314461, 6.826724
61.414840, 6.653316
61.477377, 6.653316
61.567020, 6.553089
61.614648, 6.553089
61.664714, 6.553089
61.714514, 6.528204
61.764499, 6.528204
61.814568, 6.528204
61.864616, 6.428961
61.920417, 6.428961
61.966164, 6.428961
62.066844, 6.255408
62.114626, 6.255408
62.166820, 6.255408
62.221220, 6.230817
62.264731, 6.230817
62.317547, 6.230817
62.416668, 6.131640
61.839094, 6.131640
61.889565, 6.131640
61.989416, 5.957937
62.038873, 5.957937
62.190984, 5.933091
62.240069, 5.933091
62.288927, 5.833994
62.339343, 5.833994
62.391185, 5.833994
62.439023, 5.833994
62.490040, 5.735890
62.549458, 5.735890
62.589002, 5.735890
62.639826, 5.735890
62.696057, 5.735890
62.739546, 5.735890
62.788920, 5.637817
62.838915, 5.637817
62.892153, 5.637817
62.938991, 5.637817
62.989071, 5.539516
63.039149, 5.539516
63.092829, 5.539516
63.138903, 5.442480
63.191550, 5.442480
63.242072, 5.442480
63.291758, 5.344515
63.340678, 5.344515
63.392125, 5.344515
63.438962, 5.344515
63.489002, 5.344515
63.539994, 5.247305
63.589777, 5.247305
63.639748, 5.247305
63.690213, 5.051093
63.741957, 5.051093
63.790675, 5.051093
63.840289, 5.051093
63.938898, 4.978054
63.989806, 4.978054
64.039493, 4.954278
64.090004, 4.954278
64.138897, 4.954278
64.189991, 4.954278
64.238910, 4.954278
64.296326, 4.857274
64.344360, 4.857274
64.388853, 4.857274
64.441144, 4.759360
64.488994, 4.759360
64.544110, 4.759360
64.589253, 4.759360
64.739578, 4.587203
64.796911, 4.587203
64.939584, 4.489249
64.988954, 4.489249
65.040594, 4.489249
65.088917, 4.379544
65.138916, 4.379544
65.191513, 4.379544
65.239357, 4.379544
65.390440, 4.368686
65.443554, 4.368686
65.590098, 4.198077
65.638914, 4.198077
